,LONGITUDE,LATITUDE,Cluster
83789,-1.1728515625,54.59375,24
83790,-1.1728515625,54.59375,24
83792,-1.1728515625,54.59375,24
83795,-1.1728515625,54.59375,24
83797,-1.1728515625,54.59375,24
83799,-1.1728515625,54.59375,24
83803,-1.1728515625,54.59375,24
83804,-0.1883544921875,53.625,19
83822,-0.1925048828125,53.625,19
83825,0.330810546875,51.46875,42
83836,-0.262451171875,53.75,74
83839,-0.26611328125,53.75,74
83857,0.3447265625,51.46875,42
83892,-3.015625,53.4375,2
83926,-0.1982421875,53.625,19
83928,-2.0859375,57.15625,7
83931,0.15380859375,49.46875,16
83962,-3.01953125,53.46875,9
83967,-1.4345703125,50.90625,11
83968,-1.4287109375,50.90625,11
83969,-1.3994140625,50.90625,143
83970,-1.3994140625,50.90625,143
83971,-1.4287109375,50.90625,11
83972,-1.400390625,50.90625,143
83974,-1.4287109375,50.90625,11
83975,-1.4287109375,50.90625,11
83977,-1.4287109375,50.90625,11
83979,-1.4287109375,50.90625,11
83980,-1.4287109375,50.90625,11
83981,-1.4287109375,50.90625,11
83983,-1.4287109375,50.90625,11
83984,-1.4130859375,50.90625,11
83985,-1.4287109375,50.90625,11
83986,-1.4287109375,50.90625,11
83988,-1.3994140625,50.90625,143
83989,-1.4287109375,50.90625,11
83991,-1.431640625,50.90625,11
83992,-1.4287109375,50.90625,11
83994,-1.4287109375,50.90625,11
83995,-1.3994140625,50.90625,143
83997,-1.4287109375,50.90625,11
83998,-1.4287109375,50.90625,11
84000,-1.4287109375,50.90625,11
84002,0.1072998046875,49.46875,16
84003,-1.4287109375,50.90625,11
84004,-1.4287109375,50.90625,11
84006,-1.4287109375,50.90625,11
84008,-1.3994140625,50.90625,143
84009,-1.4287109375,50.90625,11
84011,-1.4287109375,50.90625,11
84012,-1.4287109375,50.90625,11
84013,-1.4287109375,50.90625,11
84014,-1.4287109375,50.90625,11
84032,0.541015625,49.46875,124
84035,0.5400390625,49.46875,124
84037,0.2030029296875,49.46875,16
84038,-1.3349609375,50.84375,44
84039,0.541015625,49.46875,124
84054,0.5439453125,49.46875,124
84056,-1.3271484375,50.84375,44
84057,0.5439453125,49.46875,124
84059,-1.3271484375,50.84375,44
84060,0.5439453125,49.46875,124
84062,0.5439453125,49.46875,124
84064,-1.3263346354166663,50.84375,44
84066,0.54345703125,49.46875,124
84085,0.348388671875,51.46875,42
84087,-1.15625,54.59375,24
84093,0.329833984375,51.46875,42
84103,-0.19287109375,53.625,19
84115,-0.196044921875,53.625,19
84141,0.11761474609375,49.46875,16
84143,0.5458984375,49.46875,124
84153,-1.396484375,50.875,12
84154,0.1759033203125,49.46875,16
84155,0.2000732421875,49.46875,16
84156,0.197265625,49.46875,16
84157,-1.17578125,54.59375,24
84158,0.2000732421875,49.46875,16
84159,0.2000732421875,49.46875,16
84160,0.1317138671875,49.46875,16
84167,-1.4638671875,50.90625,11
84170,-1.4560546875,50.90625,11
84173,-1.457763671875,50.904296875,11
84174,-1.4208984375,50.90625,11
84179,-1.46484375,50.90625,11
84184,-1.46484375,50.90625,11
84190,-1.455078125,50.90625,11
84194,-1.453125,50.90625,11
84198,-1.46484375,50.90625,11
84201,-3.0234375,53.46875,9
84204,-1.4521484375,50.90625,11
84206,-3.0234375,53.46875,9
84209,-1.4521484375,50.90625,11
84210,-1.451171875,50.90625,11
84212,-3.01953125,53.4375,2
84216,-1.4513671874999998,50.90625,11
84220,-1.4520833333333325,50.90625,11
84221,-1.4580566406250008,50.90625,11
84222,-3.025390625,53.46875,9
84226,0.49462890625,51.5,15
84228,0.1539306640625,49.46875,16
84234,-1.4521484375,50.90625,11
84236,-3.01953125,53.46875,9
84238,-1.455078125,50.90625,11
84241,-1.4521484375,50.90625,11
84247,-1.4521484375,50.90625,11
84251,-1.4541015625,50.90625,11
84252,-3.0234375,53.46875,9
84257,-1.4521484375,50.90625,11
84260,-1.4560546875,50.90625,11
84261,-3.021484375,53.46875,9
84266,-1.451171875,50.90625,11
84282,-1.169921875,54.59375,24
84284,-1.166015625,54.59375,24
84287,-0.192138671875,53.625,19
84292,-0.1922607421875,53.625,19
84294,-0.1922607421875,53.625,19
84299,0.199951171875,49.46875,16
84361,0.12322998046875,49.46875,16
84372,-1.0908203125,50.8125,18
84380,-1.43359375,50.90625,11
84387,-0.197998046875,53.625,19
84389,0.18359375,49.46875,16
84393,0.333740234375,51.46875,42
84395,0.334228515625,51.46875,42
84397,0.333984375,51.46875,42
84399,0.333984375,51.46875,42
84401,-1.4599609375,50.90625,11
84402,-1.4560546875,50.90625,11
84405,-1.4560546875,50.90625,11
84439,-3.021484375,53.46875,9
84441,0.334228515625,51.46875,42
84443,0.332763671875,51.46875,42
84445,0.3330078125,51.46875,42
84447,0.333740234375,51.46875,42
84449,0.332763671875,51.46875,42
84450,0.334228515625,51.46875,42
84451,0.333251953125,51.46875,42
84454,0.33349609375,51.46875,42
84459,0.33251953125,51.46875,42
84461,0.3330078125,51.46875,42
84462,0.332275390625,51.46875,42
84463,0.3330078125,51.46875,42
84464,0.3330078125,51.46875,42
84466,0.33251953125,51.46875,42
84467,0.33251953125,51.46875,42
84468,0.333740234375,51.46875,42
84470,0.3330078125,51.46875,42
84472,0.33251953125,51.46875,42
84473,-3.029296875,53.46875,9
84474,-3.025390625,53.46875,9
84477,-3.029296875,53.46875,9
84480,0.3330078125,51.46875,42
84481,0.33251953125,51.46875,42
84482,0.333740234375,51.46875,42
84483,0.333740234375,51.46875,42
84485,0.3330078125,51.46875,42
84486,0.332275390625,51.46875,42
84487,-3.021484375,53.46875,9
84490,-3.025390625,53.46875,9
84495,0.15380859375,49.46875,16
84497,-1.3330078125,50.84375,44
84500,-1.3330078125,50.84375,44
84501,-1.3916015625,50.875,12
84509,-3.02734375,53.46875,9
84510,-3.021484375,53.4375,2
84513,-3.021484375,53.4375,2
84515,-1.3291015625,50.84375,44
84517,-1.3291015625,50.84375,44
84519,-1.3291015625,50.84375,44
84522,-1.3310546875,50.84375,44
84527,-1.3291015625,50.84375,44
84528,-1.3291015625,50.84375,44
84534,0.501953125,51.5,15
84536,0.489990234375,51.5,15
84537,0.497802734375,51.5,15
84539,-0.1947021484375,53.625,19
84552,0.496826171875,51.5,15
84553,0.1397705078125,49.46875,16
84554,0.50341796875,51.5,15
84555,0.13427734375,49.46875,16
84557,0.497802734375,51.5,15
84558,0.50146484375,51.5,15
84559,0.1361083984375,49.46875,16
84568,0.11468505859375,49.46875,16
84573,0.183837890625,49.46875,16
84577,-1.1650390625,54.59375,24
84584,-0.257080078125,53.75,74
84586,0.5380859375,49.46875,124
84598,-1.1595458984375,54.59375,24
84604,-3.009765625,53.4375,2
84607,-3.009765625,53.4375,2
84608,0.199951171875,49.46875,16
84609,-3.017578125,53.4375,2
84621,-0.1910400390625,53.625,19
84629,-1.1591796875,54.59375,24
84648,-0.189453125,53.625,19
84650,-0.1951904296875,53.625,19
84667,-1.1552734375,54.59375,24
84670,-1.4345703125,50.90625,11
84690,-1.3330078125,50.84375,44
84692,0.53857421875,49.46875,124
84714,-2.08203125,57.15625,7
84716,0.50390625,51.5,15
84717,0.497802734375,51.5,15
84718,0.50341796875,51.5,15
84720,0.348876953125,51.46875,42
84724,0.348876953125,51.46875,42
84728,-1.3935546875,50.875,12
84746,-0.191162109375,53.625,19
84749,-2.078125,57.15625,7
