,LONGITUDE,LATITUDE,imo,Duration,Cluster
1679,-5.7734375,56.53125,9652844,12,58
1682,-5.7734375,56.53125,9652844,18,58
1683,-5.7734375,56.53125,9652844,13,58
1684,-5.7734375,56.53125,9652844,12,58
1686,-5.7734375,56.53125,9652844,6,58
1687,-5.7734375,56.53125,9652844,12,58
1688,-5.7734375,56.53125,9652844,12,58
1693,-5.7734375,56.53125,9652844,12,58
1694,-5.7734375,56.53125,9652844,13,58
1695,-5.7734375,56.53125,9652844,12,58
1697,-5.7734375,56.53125,9652844,12,58
1698,-5.7734375,56.53125,9652844,6,58
1699,-5.7734375,56.53125,9652844,14,58
1700,-5.7734375,56.53125,9652844,12,58
1701,-5.7734375,56.53125,9652844,14,58
1702,-5.7734375,56.53125,9652844,12,58
1704,-5.7734375,56.53125,9652844,12,58
1706,-5.7734375,56.53125,9652844,14,58
1707,-5.7734375,56.53125,9652844,16,58
1708,-5.7734375,56.53125,9652844,15,58
1709,-5.7734375,56.53125,9652844,13,58
1712,-5.7734375,56.53125,9652844,12,58
1713,-5.7734375,56.53125,9652844,22,58
1715,-5.7734375,56.53125,9652844,20,58
1716,-5.7734375,56.53125,9652844,13,58
1717,-5.7734375,56.53125,9652844,12,58
1719,-5.7734375,56.53125,9652844,13,58
1720,-5.7734375,56.53125,9652844,21,58
1721,-5.7734375,56.53125,9652844,23,58
1723,-5.7734375,56.53125,9652844,20,58
1724,-5.7734375,56.53125,9652844,13,58
1725,-5.7734375,56.53125,9652844,13,58
1726,-5.7734375,56.53125,9652844,16,58
1727,-5.7734375,56.53125,9652844,18,58
1728,-5.7734375,56.53125,9652844,23,58
1731,-5.7734375,56.53125,9652844,14,58
1733,-5.7734375,56.53125,9652844,12,58
1736,-5.7734375,56.53125,9652844,20,58
1737,-5.7734375,56.53125,9652844,12,58
1739,-5.7734375,56.53125,9652844,14,58
1741,-5.7734375,56.53125,9652844,14,58
1743,-5.7734375,56.53125,9652844,13,58
1744,-5.7734375,56.53125,9652844,13,58
1745,-5.7734375,56.53125,9652844,12,58
1748,-5.7734375,56.53125,9652844,19,58
1749,-5.7734375,56.53125,9652844,17,58
1750,-5.7734375,56.53125,9652844,20,58
1751,-5.7734375,56.53125,9652844,17,58
1752,-5.7734375,56.53125,9652844,13,58
1755,-5.7734375,56.53125,9652844,16,58
1756,-5.7734375,56.53125,9652844,14,58
1757,-5.7734375,56.53125,9652844,15,58
1762,-5.7734375,56.53125,9652844,12,58
1765,-5.7734375,56.53125,9652844,21,58
1766,-5.7734375,56.53125,9652844,14,58
1767,-5.7734375,56.53125,9652844,13,58
1768,-5.7734375,56.53125,9652844,6,58
1769,-5.7734375,56.53125,9652844,15,58
1773,-5.7734375,56.53125,9652844,197,58
1777,-1.158203125,54.625,9705744,46,43
1778,-1.158203125,54.625,9705744,12,43
1779,-1.158203125,54.625,9705744,23,43
1784,-7.03125,52.28125,9385922,71,52
1787,-7.03125,52.28125,9385922,70,52
1789,-5.90625,54.625,9385922,57,59
1798,1.1591796875,52.03125,9195482,68,60
1804,1.013671875,49.40625,9195482,66,61
1815,1.3134765625,51.9375,9647461,33,62
1832,-1.158203125,54.625,9423750,39,43
1839,-4.76171875,55.96875,9135638,35,45
1843,-4.76171875,55.96875,9135638,18,45
1853,-1.326171875,50.84375,9579585,27,16
1856,-2.71484375,51.5,9338838,12,12
1886,-2.705078125,51.5,9411795,36,63
1887,1.1591796875,52.03125,9411795,33,60
1908,-2.701171875,51.5,9190262,38,30
1913,-9.046875,53.28125,9190262,87,48
1924,1.013671875,49.40625,9190262,36,61
1928,-7.03125,52.28125,9190262,29,52
1936,-3.0234375,53.46875,9195298,174,6
1951,-5.8984375,54.625,9360477,67,28
1956,-6.21875,53.34375,9641821,74,64
1961,-8.328125,51.84375,9641821,44,0
1963,-5.90234375,54.625,9641821,74,4
1972,1.01171875,49.375,9454814,42,21
1982,-5.90234375,54.625,9454814,19,4
1983,1.158203125,52.03125,9454814,53,32
1987,-0.26220703125,53.75,9454814,78,65
1988,-2.9609375,59.0,9174476,6,44
1994,-5.4765625,56.40625,9174476,15,66
1996,-5.71484375,57.28125,9174476,16,67
2001,-5.71484375,57.28125,9174476,66,67
2027,-5.71484375,57.28125,9174476,14,67
2035,-5.71484375,57.28125,9174476,14,67
2041,1.1591796875,52.03125,9052692,67,60
2042,-2.701171875,51.5,9052692,52,30
2045,1.158203125,52.03125,9052692,37,32
2054,-2.701171875,51.5,9052692,52,30
2057,-5.91015625,54.625,9052692,12,10
2066,1.158203125,52.03125,9052692,44,32
2067,1.158203125,52.03125,9052692,107,32
2103,-5.9140625,54.625,9559872,21,54
2120,-1.5302734375,50.75,9446972,53,68
2121,-1.5302734375,50.75,9446972,17,68
2122,-1.5283203125,50.75,9446972,7,69
2123,-1.5283203125,50.75,9446972,7,69
2124,-1.5283203125,50.75,9446972,7,69
2125,-1.5302734375,50.75,9446972,64,68
2127,-1.5302734375,50.75,9446972,17,68
2128,-1.5302734375,50.75,9446972,18,68
2129,-1.5302734375,50.75,9446972,17,68
2131,-1.5283203125,50.75,9446972,7,69
2133,-1.5283203125,50.75,9446972,7,69
2134,-1.5283203125,50.75,9446972,8,69
2135,-1.529296875,50.75,9446972,7,70
2136,-1.5283203125,50.75,9446972,8,69
2137,-1.5283203125,50.75,9446972,7,69
2138,-1.5283203125,50.75,9446972,7,69
2139,-1.5302734375,50.75,9446972,16,68
2140,-1.5302734375,50.75,9446972,17,68
2141,-1.5302734375,50.75,9446972,17,68
2143,-1.5302734375,50.75,9446972,18,68
2144,-1.5283203125,50.75,9446972,7,69
2145,-1.5283203125,50.75,9446972,7,69
2146,-1.5283203125,50.75,9446972,7,69
2147,-1.5283203125,50.75,9446972,8,69
2148,-1.5283203125,50.75,9446972,8,69
2149,-1.5283203125,50.75,9446972,7,69
2150,-1.5283203125,50.75,9446972,7,69
2151,-1.5302734375,50.75,9446972,17,68
2152,-1.5302734375,50.75,9446972,17,68
2153,-1.5302734375,50.75,9446972,17,68
2155,-1.5302734375,50.75,9446972,17,68
2156,-1.5283203125,50.75,9446972,7,69
2157,-1.5283203125,50.75,9446972,7,69
2158,-1.5283203125,50.75,9446972,9,69
2159,-1.5283203125,50.75,9446972,8,69
2161,-1.5283203125,50.75,9446972,8,69
2162,-1.5283203125,50.75,9446972,7,69
2163,-1.5283203125,50.75,9446972,9,69
2164,-1.5302734375,50.75,9446972,23,68
2165,-1.5302734375,50.75,9446972,45,68
2167,-1.5302734375,50.75,9446972,17,68
2168,-1.5283203125,50.75,9446972,8,69
2169,-1.5283203125,50.75,9446972,7,69
2170,-1.5283203125,50.75,9446972,7,69
2171,-1.5302734375,50.75,9446972,64,68
2172,-1.5302734375,50.75,9446972,18,68
2173,-1.5302734375,50.75,9446972,17,68
2174,-1.5302734375,50.75,9446972,44,68
2175,-1.5302734375,50.75,9446972,63,68
2177,-1.5283203125,50.75,9446972,7,69
2178,-1.5283203125,50.75,9446972,8,69
2179,-1.5283203125,50.75,9446972,8,69
2180,-1.5283203125,50.75,9446972,7,69
2181,-1.5283203125,50.75,9446972,7,69
2182,-1.5283203125,50.75,9446972,8,69
2183,-1.5283203125,50.75,9446972,8,69
2185,-1.5302734375,50.75,9446972,17,68
2186,-1.5302734375,50.75,9446972,17,68
2187,-1.5302734375,50.75,9446972,62,68
2188,-1.5283203125,50.75,9446972,7,69
2189,-1.5302734375,50.75,9446972,11,68
2190,-1.5283203125,50.75,9446972,8,69
2191,-1.5302734375,50.75,9446972,11,68
2192,-1.5283203125,50.75,9446972,7,69
2193,-1.5302734375,50.75,9446972,12,68
2194,-1.5283203125,50.75,9446972,7,69
2195,-1.5302734375,50.75,9446972,7,68
2196,-1.5302734375,50.75,9446972,9,68
2198,-1.5302734375,50.75,9446972,12,68
2199,-1.5283203125,50.75,9446972,7,69
2200,-1.529296875,50.75,9446972,11,70
2201,-1.5283203125,50.75,9446972,7,69
2202,-1.5302734375,50.75,9446972,9,68
2204,-1.5302734375,50.75,9446972,11,68
2205,-1.5283203125,50.75,9446972,7,69
2206,-1.5302734375,50.75,9446972,11,68
2207,-1.529296875,50.75,9446972,7,70
2208,-1.5302734375,50.75,9446972,12,68
2209,-1.5283203125,50.75,9446972,7,69
2210,-1.5302734375,50.75,9446972,9,68
2211,-1.5283203125,50.75,9446972,8,69
