LONGITUDE,LATITUDE,PORT_NAME,PORT_CODE,CNTR_CODE3,SIZE,geometry,Master
14.284729,53.72509766,NOWE WARPNO,NWA,POL,1.0,POINT (14.284729 53.72509766),
14.44592285,53.93249512,MIEDZYZDROJE (MIEDZYZDROJE),MID_2,POL,,POINT (14.44592285 53.93249512),
19.40008545,54.27789307,ELBLAG (ELBLAG),ELB,POL,,POINT (19.40008545 54.27789307),
19.45147705,54.39007568,KRYNICA MORSKA,012,POL,,POINT (19.45147705 54.39007568),
19.67749023,54.35968018,FROMBORK,011,POL,,POINT (19.67749023 54.35968018),
22.12073027,57.94916667,MONTU HARBOR,MNT,EST,,POINT (22.12073027 57.94916667),
23.2696702,57.78027778,RINGSU HARBOR (RUHNU HARBOR),RNG,EST,,POINT (23.2696702 57.78027778),
23.49163722,59.20944444,PORT OF DIRHAMI,DIR,EST,,POINT (23.49163722 59.20944444),
22.90547703,58.97638889,SUURSADAM HARBOUR,SUS,EST,,POINT (22.90547703 58.97638889),
23.30636042,58.97166667,SVIBY HARBOR,SVI,EST,,POINT (23.30636042 58.97166667),
24.1221437,58.22111111,MANILAIU HARBOUR,MAN_5,EST,,POINT (24.1221437 58.22111111),
22.39075383,58.21611111,NASVA HARBOR,NAS,EST,,POINT (22.39075383 58.21611111),
23.08633687,58.56055556,ORISSAARE HARBOUR,ORI_2,EST,,POINT (23.08633687 58.56055556),
22.77002356,58.78722222,ORJAKU HARBOUR,ORJ,EST,,POINT (22.77002356 58.78722222),
37.85913086,59.11669922,CHEREPOVETS_1,CHE_3,RUS,4.0,POINT (37.85913086 59.11669922),
170.3231,69.694734,PEVEK,PWE,RUS,25.0,POINT (170.3231 69.694734),
39.5317,68.049634,GREMIKHA,GRH,RUS,,POINT (39.5317 68.049634),
141.5173,52.212234,LAZAREV,LAZ,RUS,,POINT (141.5173 52.212234),
179.3445,63.054734,BERINGOVSKIY,BER_1,RUS,25.0,POINT (179.3445 63.054734),
140.2673,49.083134,VANINO,VNN,RUS,93.0,POINT (140.2673 49.083134),VANINO_1
142.0289,49.059834,UGLEGORSK,UGL,RUS,12.0,POINT (142.0289 49.059834),
142.0505,47.049934,KHOLMSK,KHO,RUS,6.0,POINT (142.0505 47.049934),
140.2759,48.981034,SOVETSKAYA GAVAN,SOG,RUS,31.0,POINT (140.2759 48.981034),
142.5367,53.579934,MOSKALVO,MVO,RUS,,POINT (142.5367 53.579934),
143.1811,59.347734,OKHOTSK,OHO,RUS,11.0,POINT (143.1811 59.347734),
31.02893066,59.94067383,SHLISSEL'BURG_1,SHL_1,RUS,1.0,POINT (31.02893066 59.94067383),
-17.1719825,32.7169115,CALHETA,CAL_1_1,PRT,,POINT (-17.1719825 32.7169115),
-9.420567095,38.69148254,CASCAIS,CAS_3,PRT,79.0,POINT (-9.420567094999999 38.69148254),
-16.73431397,32.73712158,CANICAL,CNL,PRT,75.0,POINT (-16.73431397 32.73712158),
-28.53149414,38.53387451,PORTO DA MADALENA,MAD_2,PRT,,POINT (-28.53149414 38.53387451),
-31.12456974,39.45459845,SANTA CRUZ DAS FLORES,SCF,PRT,,POINT (-31.12456974 39.45459845),
-7.933410645,37.01147461,FARO,FAO_1,PRT,,POINT (-7.933410645 37.01147461),
